Drug_Protein Pair,Max DDT,Sum DDT,Max DDDT,Sum DDDT,Max DTTT,Sum DTTT,Max DTDT,degree of starting node,degree of ending node,max deg DDT,max deg DDDT,max deg DTTT,max deg DTDT_x,drug_centrality,target_centrality,betweenness_cen drug,betweenness_cen target,Label_x,max deg DTDT_y,Label_y
"('ISOPROTERENOL', 'VAMP2')",0.3496081974683544,0.0570289688556305,0.3533779996795385,0.04508291284156896,0.2803623807231521,0.07098956503659715,0.0,0.5650793650793651,0.04615384615384616,0.6899563318777293,0.7874251497005988,0.6274065685164213,0.0,0.8947980718645243,0.7126756209948456,0.0005319786923326171,0.0071439811279846105,0,0.0,1
"('ISOPROTERENOL', 'EPHB3')",0.3425167534177215,0.05587219465859069,0.3190114127864125,0.03671110916749055,0.39769950030131546,0.1007000813719383,0.0,0.5650793650793651,0.030769230769230767,0.6652110625909753,0.7704590818363274,0.6262740656851642,0.0,0.8947980718645243,0.7085188029818452,0.0005319786923326171,0.0,0,0.0,1
"('ISOPROTERENOL', 'EPHB2')",0.08905435544303797,0.014526770538551144,0.08294296734497678,0.013353169779344014,0.32436379978424823,0.08213100841108563,0.0,0.5650793650793651,0.04615384615384616,0.6666666666666666,0.7814371257485029,0.6274065685164213,0.0,0.8947980718645243,0.7142194031676911,0.0005319786923326171,0.0,0,0.0,1
"('ISOPROTERENOL', 'PTPRM')",0.0,0.0,0.29933285563211026,0.04008857472860138,0.42703378071633297,0.1164611975922577,0.0,0.5650793650793651,0.04615384615384616,0.0,0.7844311377245509,0.7723669309173273,0.0,0.8947980718645243,0.7980636234373837,0.0005319786923326171,0.0,0,0.0,1
"('ISOPROTERENOL', 'COQ8B')",0.0,0.0,0.11163279423169364,0.01447146930341759,0.0,0.0,0.0,0.5650793650793651,0.030769230769230767,0.0,0.780439121756487,0.0,0.0,0.8947980718645243,0.6743608476911335,0.0005319786923326171,0.0,0,0.0,1
"('LEFLUNOMIDE', 'RHEB')",0.0,0.0,0.1355653670886076,0.01913167839369368,0.003832321247921016,0.000925042343824476,0.0,0.5587301587301587,0.030769230769230767,0.0,0.7824351297405191,0.6092865232163079,0.0,0.8348581160802664,0.7139984535682015,0.0010664111238132335,0.0,0,0.0,1
"('BETAMETHASONE', 'RHEB')",0.27812444354430377,0.04536835904802654,0.2780723817336966,0.029631971532981024,0.2437760969770251,0.0588424606205293,0.0,0.5587301587301587,0.030769230769230767,0.6826783114992722,0.7824351297405191,0.6036240090600227,0.0,0.8862551442694937,0.7139984535682015,3.972241653523324e-05,0.0,0,0.0,1
"('SULFASALAZINE', 'RHEB')",0.0,0.0,0.1476262773273514,0.021023031996211583,0.0,0.0,0.0,0.5587301587301587,0.030769230769230767,0.0,0.7824351297405191,0.0,0.0,0.8276710217805708,0.7139984535682015,0.0004404662896818267,0.0,0,0.0,1
"('ESTRADIOL BENZOATE', 'RHEB')",0.2191573782278481,0.035749502980601304,0.2030705868931261,0.02715494801103872,0.0,0.0,0.0,0.5587301587301587,0.030769230769230767,0.6826783114992722,0.7824351297405191,0.0,0.0,0.8071964018930641,0.7139984535682015,0.00015687840454421223,0.0,0,0.0,1
"('LEFLUNOMIDE', 'BMPR2')",0.08447051544303798,0.013779043023887086,0.07024864066655984,0.009543692905869443,0.00349644719766277,0.0008439693599640399,0.0,0.5587301587301587,0.030769230769230767,0.6768558951965066,0.7784431137724551,0.6092865232163079,0.0,0.8348581160802664,0.7097170961995175,0.0010664111238132335,0.0,0,0.0,1
